feature,beta_f,beta_a,beta_g,pvalue_f,pvalue_a,pvalue_g,Contrast_name,Labels
Rolandic_Oper_L,-0.047525434953901914,-0.008207497911575505,0.2871045526513699,0.7411439778001534,0.407325186462155,0.20121649964093657,nBack_con_0002,12
Rolandic_Oper_R,0.05645577901742704,-0.00923277396062962,0.3082370512956434,0.6963287262146729,0.3538973837855225,0.1721347126138838,nBack_con_0002,12
Supp_Motor_Area_L,-0.0620418307569447,-0.008322499326234214,0.2894880342720039,0.6643234941507188,0.39840685223723205,0.19559769810301453,nBack_con_0002,12
Supp_Motor_Area_R,-0.116586041792531,-0.007722097698543287,0.27737186353235854,0.4184339118778171,0.4355153369478747,0.21677329652463861,nBack_con_0002,12
Olfactory_L,-0.13564291981841115,-0.008652761475444148,0.2967118416451166,0.34570553189155395,0.37939350833825847,0.18439531161363487,nBack_con_0002,12
Olfactory_R,-0.13835782355586904,-0.008982244163407213,0.30353461727354364,0.338340381750439,0.3619688031796947,0.17500788314292037,nBack_con_0002,12
Frontal_Sup_Medial_L,-0.053369527981944886,-0.008872834401409818,0.30081990689532834,0.7090779542035238,0.3678464315190536,0.17875828425949558,nBack_con_0002,12
Frontal_Sup_Medial_R,-0.056871050809348685,-0.008984190837799881,0.30313254778731685,0.6914757934245634,0.3629264153257341,0.17628703093954912,nBack_con_0002,12
Frontal_Med_Orb_L,-0.08764461769306982,-0.009336928025374582,0.3105008231421119,0.5431190471580882,0.3459671544188424,0.16719353789944624,nBack_con_0002,12
Frontal_Med_Orb_R,-0.05385824292383837,-0.009070654708801638,0.30491186991870123,0.7081897210875947,0.35975828521732367,0.17486137896209786,nBack_con_0002,12
Rectus_L,-0.18744181087404266,-0.009964042524707969,0.3241445900367984,0.20072433613968188,0.31468453271028696,0.14991382956248137,nBack_con_0002,12
Rectus_R,-0.16844330446738806,-0.009303625197494596,0.310447257888502,0.24663681860095799,0.34581820139242314,0.16634768213222584,nBack_con_0002,12
Insula_L,-0.029588222263682802,-0.008441568779018756,0.2918761991316862,0.8363835420470389,0.3921246551813484,0.19231814224169197,nBack_con_0002,12
Insula_R,0.05394842064924439,-0.00900774854164232,0.3036131869634569,0.7070669516117019,0.36218160662304677,0.1760057886413131,nBack_con_0002,12
Cingulum_Ant_L,-0.11619520031480303,-0.009171789558171405,0.30726524569548375,0.4186325063336529,0.35223966697013176,0.16999951080895082,nBack_con_0002,12
Cingulum_Ant_R,-0.14952909971400802,-0.009196205507729791,0.307979840032489,0.29886555333081655,0.35098804018964014,0.16905275361166516,nBack_con_0002,12
Cingulum_Mid_L,0.015064611891840432,-0.008661468001393207,0.29639920780784057,0.9160559184101257,0.3785671212612366,0.18458216317535403,nBack_con_0002,12
Cingulum_Mid_R,-0.069193053602,-0.008371239702245637,0.2905257697218978,0.6284313310737486,0.39519853887740797,0.19369148840805062,nBack_con_0002,12
Cingulum_Post_L,-0.06860709436929166,-0.009222959787766938,0.3080857632345876,0.6336864655994066,0.3522482471668952,0.1707830022875041,nBack_con_0002,12
Cingulum_Post_R,-0.07348942417101573,-0.009499335075894047,0.3137934858877416,0.6124929534914674,0.34153342147288757,0.16560718124261886,nBack_con_0002,12
Hippocampus_L,0.0874427578342139,-0.008529258247202874,0.2939661304315995,0.5416730087401094,0.3857458176140134,0.18833826676232512,nBack_con_0002,12
Hippocampus_R,0.15037386064433536,-0.008736477938254494,0.2986609445459667,0.29740837896581385,0.37529678175404113,0.1822088524338975,nBack_con_0002,12
ParaHippocampal_L,0.03369776864617834,-0.008444749155157735,0.29195491776760363,0.8138521217266583,0.39148473685471885,0.19186118669606678,nBack_con_0002,12
ParaHippocampal_R,0.0295227793584791,-0.008597263013748364,0.29509745172776497,0.8360920365791498,0.3817196633744725,0.18621642317658027,nBack_con_0002,12
Amygdala_L,0.25636090953721646,-0.009690176659888009,0.3192801683339057,0.08008576288384414,0.3291203168454798,0.15681493588493156,nBack_con_0002,12
Amygdala_R,0.01198416720032378,-0.008640348195353198,0.2959591548056143,0.9330535042262041,0.37948354659026384,0.18503229188854708,nBack_con_0002,12
Calcarine_L,-0.07845470153422132,-0.0090058044962787,0.3036155758402876,0.5840022183221989,0.36118555695379306,0.1750423782623477,nBack_con_0002,12
Calcarine_R,0.01606340656035016,-0.008584933396956361,0.2948244062398912,0.9103795895655682,0.3824694618562898,0.18665800869178295,nBack_con_0002,12
Cuneus_L,-0.2293828569383144,-0.008744429717659761,0.2992430429713048,0.1150996740758762,0.3768281648328502,0.18254875338723553,nBack_con_0002,12
Cuneus_R,-0.2278657561162452,-0.008414234268605561,0.2925534990889823,0.11782715144819492,0.39453770691649714,0.19255251619423364,nBack_con_0002,12
Lingual_L,-0.04140979656252594,-0.008519587569266107,0.29349091024214713,0.7717977524086569,0.3863950274920447,0.1887977152349386,nBack_con_0002,12
Lingual_R,-0.17341271236106423,-0.008724950957580326,0.2985484281653617,0.2289064270956106,0.3763565265991985,0.18274088863322435,nBack_con_0002,12
Occipital_Sup_L,-0.10432050750153718,-0.007844845389106996,0.27986839775847555,0.4697920757083224,0.4280378890806147,0.21246919974202405,nBack_con_0002,12
Occipital_Sup_R,-0.13274595676315373,-0.007583867141800538,0.27475664510040254,0.3599800192335284,0.44397551949004077,0.22148499253899567,nBack_con_0002,12
Occipital_Mid_L,-0.002578383000869807,-0.008599486445195755,0.29511405028603444,0.9856473524474477,0.3833179648164218,0.18746879216766088,nBack_con_0002,12
Occipital_Mid_R,0.1001396495492184,-0.0092457080488812,0.3086961012934847,0.4860113082851093,0.3494674075507812,0.16882892038905362,nBack_con_0002,12
Occipital_Inf_L,0.03595964673152158,-0.00876226351080913,0.29848687817848923,0.801517239144686,0.373520496922653,0.18183439282514124,nBack_con_0002,12
Occipital_Inf_R,0.07467211125314963,-0.008851875870927709,0.3004428918957428,0.6019613677173306,0.3686463805526804,0.17900879688065208,nBack_con_0002,12
Fusiform_L,0.014773139635936808,-0.008677878383164101,0.2967280430005029,0.9177319354036637,0.3781263472664802,0.18441591928677148,nBack_con_0002,12
Fusiform_R,-0.05030735229458376,-0.008414695252734437,0.29140215542644315,0.7251572825242301,0.39275176863823735,0.19244493579092792,nBack_con_0002,12
Postcentral_L,0.04671873153069478,-0.009092258181597153,0.3053195922894654,0.7460545374720011,0.36028426825171966,0.1754721191330868,nBack_con_0002,12
Postcentral_R,0.0062569679697720825,-0.008681491398092442,0.296803757712981,0.9654143043741541,0.3827365716944202,0.18799485186130716,nBack_con_0002,12
Parietal_Sup_L,0.1540413895697679,-0.009918205576577565,0.32295324077946963,0.2876591666650802,0.3174595768496682,0.15168241535509738,nBack_con_0002,12
Parietal_Sup_R,0.022410990313730676,-0.008770358263670905,0.29865160566647536,0.875787397279718,0.3745562253382514,0.18277231706553987,nBack_con_0002,12
Parietal_Inf_L,0.09376407836967215,-0.00938142807832696,0.3114957583134945,0.5159127342024852,0.3434783244892732,0.16583996530586187,nBack_con_0002,12
Parietal_Inf_R,-0.06529860303202142,-0.0083768018268578,0.2906339184100921,0.6476887546252605,0.39503585119329654,0.19367808177019008,nBack_con_0002,12
SupraMarginal_L,0.009362162176633639,-0.00870315251533707,0.2972496380994507,0.9481613914807534,0.38030575058893457,0.18637310379031335,nBack_con_0002,12
SupraMarginal_R,0.17997028412822805,-0.011029713442714318,0.3459352503363925,0.22439330375183486,0.2729666252688028,0.12894530470530877,nBack_con_0002,12
Angular_L,-0.13259400887223255,-0.009117154044493463,0.3062978312291616,0.3554804091309015,0.3550556637121911,0.17153576449424524,nBack_con_0002,12
Angular_R,-0.07035911445402866,-0.008808671874222261,0.29953528913517846,0.62203755691897,0.37078003703448725,0.18019660032679763,nBack_con_0002,12
Precuneus_L,0.02819973485733097,-0.008629049478551781,0.29575188555227633,0.8433223336110015,0.3799162734598437,0.1852219934319681,nBack_con_0002,12
Precuneus_R,-0.017378331373291683,-0.008615939377404219,0.29545668172106054,0.9030736184965188,0.3806099734361076,0.185588334310284,nBack_con_0002,12
Paracentral_Lobule_L,0.029799879931608007,-0.008776085088125116,0.2987798259207024,0.8349798719695555,0.37331795714227267,0.18189052990546295,nBack_con_0002,12
Paracentral_Lobule_R,-0.03542762928945866,-0.008492300619790552,0.29293422879076936,0.8044327754114109,0.3881911197989023,0.18988412273323851,nBack_con_0002,12
Caudate_L,0.019579620709063984,-0.008609766174563698,0.29534057859916035,0.8907831167096132,0.38097715785522657,0.18580844885490289,nBack_con_0002,12
Caudate_R,-0.11751734751237813,-0.008641306436826847,0.296315883661325,0.4125264424692705,0.3799278739149723,0.18493064155915706,nBack_con_0002,12
Putamen_L,0.03574495193256158,-0.008716331414439456,0.2975751159353233,0.8023525200032495,0.37550548430928554,0.18288339229246497,nBack_con_0002,12
Putamen_R,0.03975049833316536,-0.008855360513468944,0.3004437645080574,0.7815170996266869,0.3694957531458678,0.1798890242938287,nBack_con_0002,12
Pallidum_L,0.04582698385310624,-0.00880763459846558,0.29948736601118475,0.7488413635137698,0.37099052855377157,0.18049101495087883,nBack_con_0002,12
Pallidum_R,0.16697378700067483,-0.010134358487272708,0.32769122393758676,0.2517426148642484,0.308174201886111,0.1469268058792594,nBack_con_0002,12
Thalamus_L,0.01933622394321573,-0.008626667004986122,0.2956869869588535,0.8921874686749164,0.38002695737126113,0.18528212677745615,nBack_con_0002,12
Thalamus_R,-0.035971026820364696,-0.008594027103470382,0.2950264167118467,0.8007162756624873,0.38187593582301416,0.18625788608982785,nBack_con_0002,12
Heschl_L,0.07914470022906028,-0.009196422639660081,0.307562319145156,0.5822695684407956,0.35271983524415906,0.17079748857894006,nBack_con_0002,12
Heschl_R,0.11107394371188485,-0.009599584417386068,0.31601388808664865,0.44330882709207897,0.33344389712976574,0.16041207676878333,nBack_con_0002,12
Temporal_Sup_L,-0.01907516972181544,-0.008426075669577256,0.2915528768027146,0.8946642345289993,0.39611873934160924,0.1952573862265713,nBack_con_0002,12
Temporal_Sup_R,0.14648230891864822,-0.009916136432635603,0.32283787918063817,0.3126589061919042,0.3182640019491214,0.15223777775040379,nBack_con_0002,12
Temporal_Pole_Sup_L,-0.18461488493916933,-0.008035187004447135,0.2843194601290751,0.2023324367879581,0.4159030874093418,0.2047287902782544,nBack_con_0002,12
Temporal_Pole_Sup_R,-0.016644239493921874,-0.008538694420267036,0.29387044989807476,0.9072501841860395,0.3859205346666601,0.18874479362760588,nBack_con_0002,12
Temporal_Mid_L,-0.15514486488129142,-0.008421510346585372,0.29209068763270496,0.28136561847470065,0.39284386462590304,0.19196376546640248,nBack_con_0002,12
Temporal_Mid_R,-0.002432032826307452,-0.008608814323731395,0.29530500062716397,0.9864036968670653,0.38131374039009036,0.18605901554507542,nBack_con_0002,12
Temporal_Pole_Mid_L,-0.08447036338627192,-0.008404267998007664,0.29126482174188484,0.5542947422529184,0.39294727527947215,0.1923466966751438,nBack_con_0002,12
Temporal_Pole_Mid_R,0.04625375040685435,-0.008730398491562224,0.297855454581047,0.7459851181266726,0.37484133133545083,0.18246101311060015,nBack_con_0002,12
Temporal_Inf_L,-0.06101045522945736,-0.008750332581407713,0.2983270714694204,0.6691278943919423,0.37371973066927533,0.1818030783711344,nBack_con_0002,12
Temporal_Inf_R,0.010992291736232819,-0.008618040394875463,0.2954970644102143,0.9386055831245813,0.3804907347862828,0.1855365175277548,nBack_con_0002,12
Cerebelum_Crus1_L,-0.09325969310553588,-0.008904136031389679,0.30159261081503586,0.5153875785365309,0.3658571950850038,0.17740115731758166,nBack_con_0002,12
Cerebelum_Crus1_R,-0.06039247793112281,-0.008929495511022739,0.3020008677335474,0.6728936527276917,0.36523150240747004,0.1773932011300714,nBack_con_0002,12
