contrast,class,Model,original_accuracy
Faces_con_0003,31,svm_kernel_default,0.39379084967320266
Faces_con_0003,31,svm_kernel_tuned,0.39379084967320266
Faces_con_0003,31,rfc,0.3382352941176471
Faces_con_0003,31,logistic_regression,0.630718954248366
Faces_con_0003,31,svm_kernel_default,0.544407894736842
Faces_con_0003,31,svm_kernel_tuned,0.544407894736842
Faces_con_0003,31,rfc,0.5394736842105263
Faces_con_0003,31,logistic_regression,0.5707236842105263
Faces_con_0003,31,svm_kernel_default,0.5130718954248366
Faces_con_0003,31,svm_kernel_tuned,0.5130718954248366
Faces_con_0003,31,rfc,0.4591503267973857
Faces_con_0003,31,logistic_regression,0.4852941176470588
Faces_con_0003,31,svm_kernel_default,0.5666666666666667
Faces_con_0003,31,svm_kernel_tuned,0.5666666666666667
Faces_con_0003,31,rfc,0.4916666666666667
Faces_con_0003,31,logistic_regression,0.6416666666666666
Faces_con_0003,31,svm_kernel_default,0.4194078947368421
Faces_con_0003,31,svm_kernel_tuned,0.4194078947368421
Faces_con_0003,31,rfc,0.6282894736842105
Faces_con_0003,31,logistic_regression,0.5394736842105263
Faces_con_0003,31,svm_kernel_default,0.544407894736842
Faces_con_0003,31,svm_kernel_tuned,0.544407894736842
Faces_con_0003,31,rfc,0.5707236842105263
Faces_con_0003,31,logistic_regression,0.700657894736842
Faces_con_0003,31,svm_kernel_default,0.4825174825174825
Faces_con_0003,31,svm_kernel_tuned,0.4825174825174825
Faces_con_0003,31,rfc,0.4195804195804196
Faces_con_0003,31,logistic_regression,0.5961538461538461
Faces_con_0003,31,svm_kernel_default,0.475328947368421
Faces_con_0003,31,svm_kernel_tuned,0.475328947368421
Faces_con_0003,31,rfc,0.5707236842105263
Faces_con_0003,31,logistic_regression,0.5805921052631579
Faces_con_0003,31,svm_kernel_default,0.4297385620915033
Faces_con_0003,31,svm_kernel_tuned,0.4297385620915033
Faces_con_0003,31,rfc,0.4542483660130721
Faces_con_0003,31,logistic_regression,0.4852941176470588
Faces_con_0003,31,svm_kernel_default,0.4642857142857143
Faces_con_0003,31,svm_kernel_tuned,0.4642857142857143
Faces_con_0003,31,rfc,0.3809523809523809
Faces_con_0003,31,logistic_regression,0.6547619047619048
Faces_con_0003,31,svm_kernel_default,0.4395424836601307
Faces_con_0003,31,svm_kernel_tuned,0.4395424836601307
Faces_con_0003,31,rfc,0.4901960784313726
