contrast,class,Model,original_accuracy
Faces_con_0005,12,svm_kernel_default,0.6233552631578947
Faces_con_0005,12,svm_kernel_tuned,0.42434210526315785
Faces_con_0005,12,rfc,0.4506578947368421
Faces_con_0005,12,logistic_regression,0.4769736842105263
Faces_con_0005,12,svm_kernel_default,0.5767973856209151
Faces_con_0005,12,svm_kernel_tuned,0.542483660130719
Faces_con_0005,12,rfc,0.6013071895424837
Faces_con_0005,12,logistic_regression,0.4607843137254902
Faces_con_0005,12,svm_kernel_default,0.6013071895424837
Faces_con_0005,12,svm_kernel_tuned,0.6258169934640523
Faces_con_0005,12,rfc,0.7418300653594772
Faces_con_0005,12,logistic_regression,0.5375816993464052
Faces_con_0005,12,svm_kernel_default,0.5119047619047619
Faces_con_0005,12,svm_kernel_tuned,0.4761904761904762
Faces_con_0005,12,rfc,0.5
Faces_con_0005,12,logistic_regression,0.5357142857142857
Faces_con_0005,12,svm_kernel_default,0.5702614379084967
Faces_con_0005,12,svm_kernel_tuned,0.40032679738562094
Faces_con_0005,12,rfc,0.7450980392156863
Faces_con_0005,12,logistic_regression,0.5163398692810457
Faces_con_0005,12,svm_kernel_default,0.6428571428571428
Faces_con_0005,12,svm_kernel_tuned,0.4880952380952381
Faces_con_0005,12,rfc,0.5119047619047619
Faces_con_0005,12,logistic_regression,0.4404761904761905
Faces_con_0005,12,svm_kernel_default,0.5686274509803921
Faces_con_0005,12,svm_kernel_tuned,0.5408496732026145
Faces_con_0005,12,rfc,0.5931372549019608
Faces_con_0005,12,logistic_regression,0.4852941176470588
Faces_con_0005,12,svm_kernel_default,0.6332236842105263
Faces_con_0005,12,svm_kernel_tuned,0.6282894736842105
Faces_con_0005,12,rfc,0.587171052631579
Faces_con_0005,12,logistic_regression,0.555921052631579
Faces_con_0005,12,svm_kernel_default,0.6785714285714286
Faces_con_0005,12,svm_kernel_tuned,0.3928571428571429
Faces_con_0005,12,rfc,0.6309523809523809
Faces_con_0005,12,logistic_regression,0.4761904761904762
Faces_con_0005,12,svm_kernel_default,0.5996732026143792
Faces_con_0005,12,svm_kernel_tuned,0.5457516339869282
Faces_con_0005,12,rfc,0.5441176470588236
Faces_con_0005,12,logistic_regression,0.542483660130719
Faces_con_0005,12,svm_kernel_default,0.5147058823529411
Faces_con_0005,12,svm_kernel_tuned,0.5964052287581699
Faces_con_0005,12,rfc,0.457516339869281
Faces_con_0005,12,logistic_regression,0.5114379084967321
Faces_con_0005,12,svm_kernel_default,0.542483660130719
Faces_con_0005,12,svm_kernel_tuned,0.5980392156862745
Faces_con_0005,12,rfc,0.4542483660130721
Faces_con_0005,12,logistic_regression,0.5098039215686274
Faces_con_0005,12,svm_kernel_default,0.43
Faces_con_0005,12,svm_kernel_tuned,0.30000000000000004
Faces_con_0005,12,rfc,0.48
Faces_con_0005,12,logistic_regression,0.44
Faces_con_0005,12,svm_kernel_default,0.5166666666666666
Faces_con_0005,12,svm_kernel_tuned,0.4666666666666667
Faces_con_0005,12,rfc,0.4916666666666667
Faces_con_0005,12,logistic_regression,0.5
Faces_con_0005,12,svm_kernel_default,0.5419580419580419
Faces_con_0005,12,svm_kernel_tuned,0.5646853146853147
Faces_con_0005,12,rfc,0.6416083916083917
Faces_con_0005,12,logistic_regression,0.5402097902097902
Faces_con_0005,12,svm_kernel_default,0.6241830065359477
Faces_con_0005,12,svm_kernel_tuned,0.5718954248366013
Faces_con_0005,12,rfc,0.5718954248366013
Faces_con_0005,12,logistic_regression,0.5114379084967321
Faces_con_0005,12,svm_kernel_default,0.4819078947368421
Faces_con_0005,12,svm_kernel_tuned,0.5082236842105263
Faces_con_0005,12,rfc,0.5082236842105263
Faces_con_0005,12,logistic_regression,0.5921052631578947
Faces_con_0005,12,svm_kernel_default,0.6323529411764706
Faces_con_0005,12,svm_kernel_tuned,0.5114379084967321
Faces_con_0005,12,rfc,0.6830065359477124
Faces_con_0005,12,logistic_regression,0.5980392156862745
Faces_con_0005,12,svm_kernel_default,0.5931372549019608
Faces_con_0005,12,svm_kernel_tuned,0.5130718954248366
Faces_con_0005,12,rfc,0.5669934640522876
Faces_con_0005,12,logistic_regression,0.5980392156862745
Faces_con_0005,12,svm_kernel_default,0.5394736842105263
Faces_con_0005,12,svm_kernel_tuned,0.5921052631578947
Faces_con_0005,12,rfc,0.4983552631578948
Faces_con_0005,12,logistic_regression,0.4457236842105263
Faces_con_0005,12,svm_kernel_default,0.5714285714285714
Faces_con_0005,12,svm_kernel_tuned,0.5357142857142857
Faces_con_0005,12,rfc,0.6309523809523809
Faces_con_0005,12,logistic_regression,0.4523809523809524
Faces_con_0005,12,svm_kernel_default,0.6904761904761905
Faces_con_0005,12,svm_kernel_tuned,0.5833333333333334
Faces_con_0005,12,rfc,0.6428571428571428
