contrast,class,Model,original_accuracy
Faces_con_0003,12,svm_kernel_default,0.4967105263157895
Faces_con_0003,12,svm_kernel_tuned,0.42434210526315785
Faces_con_0003,12,rfc,0.5657894736842105
Faces_con_0003,12,logistic_regression,0.5394736842105263
Faces_con_0003,12,svm_kernel_default,0.6309523809523809
Faces_con_0003,12,svm_kernel_tuned,0.4880952380952381
Faces_con_0003,12,rfc,0.6428571428571428
Faces_con_0003,12,logistic_regression,0.4880952380952381
Faces_con_0003,12,svm_kernel_default,0.5333333333333333
Faces_con_0003,12,svm_kernel_tuned,0.5583333333333333
Faces_con_0003,12,rfc,0.5916666666666667
Faces_con_0003,12,logistic_regression,0.5916666666666667
Faces_con_0003,12,svm_kernel_default,0.5394736842105263
Faces_con_0003,12,svm_kernel_tuned,0.649671052631579
Faces_con_0003,12,rfc,0.5970394736842105
Faces_con_0003,12,logistic_regression,0.6710526315789473
Faces_con_0003,12,svm_kernel_default,0.5230263157894737
Faces_con_0003,12,svm_kernel_tuned,0.5970394736842105
Faces_con_0003,12,rfc,0.575657894736842
Faces_con_0003,12,logistic_regression,0.5707236842105263
Faces_con_0003,12,svm_kernel_default,0.6617647058823529
Faces_con_0003,12,svm_kernel_tuned,0.480392156862745
Faces_con_0003,12,rfc,0.457516339869281
Faces_con_0003,12,logistic_regression,0.4836601307189543
Faces_con_0003,12,svm_kernel_default,0.575657894736842
Faces_con_0003,12,svm_kernel_tuned,0.513157894736842
Faces_con_0003,12,rfc,0.5493421052631579
Faces_con_0003,12,logistic_regression,0.606907894736842
Faces_con_0003,12,svm_kernel_default,0.6862745098039216
Faces_con_0003,12,svm_kernel_tuned,0.542483660130719
Faces_con_0003,12,rfc,0.5751633986928104
Faces_con_0003,12,logistic_regression,0.4869281045751634
Faces_con_0003,12,svm_kernel_default,0.5506535947712419
Faces_con_0003,12,svm_kernel_tuned,0.6274509803921569
Faces_con_0003,12,rfc,0.6078431372549019
Faces_con_0003,12,logistic_regression,0.5686274509803921
Faces_con_0003,12,svm_kernel_default,0.4880952380952381
Faces_con_0003,12,svm_kernel_tuned,0.4642857142857143
Faces_con_0003,12,rfc,0.6309523809523809
Faces_con_0003,12,logistic_regression,0.5238095238095238
Faces_con_0003,12,svm_kernel_default,0.542483660130719
Faces_con_0003,12,svm_kernel_tuned,0.4558823529411765
Faces_con_0003,12,rfc,0.6029411764705883
Faces_con_0003,12,logistic_regression,0.4852941176470588
Faces_con_0003,12,svm_kernel_default,0.6048951048951049
Faces_con_0003,12,svm_kernel_tuned,0.5192307692307692
Faces_con_0003,12,rfc,0.6276223776223776
Faces_con_0003,12,logistic_regression,0.6188811188811189
Faces_con_0003,12,svm_kernel_default,0.5524475524475525
Faces_con_0003,12,svm_kernel_tuned,0.4895104895104895
Faces_con_0003,12,rfc,0.5664335664335665
Faces_con_0003,12,logistic_regression,0.5192307692307692
Faces_con_0003,12,svm_kernel_default,0.4177631578947368
Faces_con_0003,12,svm_kernel_tuned,0.575657894736842
Faces_con_0003,12,rfc,0.5493421052631579
Faces_con_0003,12,logistic_regression,0.5542763157894737
Faces_con_0003,12,svm_kernel_default,0.6339869281045751
Faces_con_0003,12,svm_kernel_tuned,0.5098039215686274
Faces_con_0003,12,rfc,0.542483660130719
Faces_con_0003,12,logistic_regression,0.5130718954248366
Faces_con_0003,12,svm_kernel_default,0.5595238095238095
Faces_con_0003,12,svm_kernel_tuned,0.6785714285714286
Faces_con_0003,12,rfc,0.6666666666666667
Faces_con_0003,12,logistic_regression,0.6547619047619048
Faces_con_0003,12,svm_kernel_default,0.5
Faces_con_0003,12,svm_kernel_tuned,0.4523809523809523
Faces_con_0003,12,rfc,0.5
Faces_con_0003,12,logistic_regression,0.42857142857142855
Faces_con_0003,12,svm_kernel_default,0.32894736842105265
Faces_con_0003,12,svm_kernel_tuned,0.35526315789473684
Faces_con_0003,12,rfc,0.4605263157894737
Faces_con_0003,12,logistic_regression,0.4967105263157895
Faces_con_0003,12,svm_kernel_default,0.6428571428571428
Faces_con_0003,12,svm_kernel_tuned,0.5238095238095238
Faces_con_0003,12,rfc,0.5595238095238095
Faces_con_0003,12,logistic_regression,0.5119047619047619
Faces_con_0003,12,svm_kernel_default,0.5065359477124183
Faces_con_0003,12,svm_kernel_tuned,0.6879084967320261
Faces_con_0003,12,rfc,0.4591503267973857
Faces_con_0003,12,logistic_regression,0.6601307189542484
Faces_con_0003,12,svm_kernel_default,0.522875816993464
Faces_con_0003,12,svm_kernel_tuned,0.6029411764705883
Faces_con_0003,12,rfc,0.4901960784313726
Faces_con_0003,12,logistic_regression,0.6601307189542484
Faces_con_0003,12,svm_kernel_default,0.5608552631578947
Faces_con_0003,12,svm_kernel_tuned,0.4917763157894737
Faces_con_0003,12,rfc,0.4917763157894737
Faces_con_0003,12,logistic_regression,0.4391447368421053
Faces_con_0003,12,svm_kernel_default,0.4868421052631578
Faces_con_0003,12,svm_kernel_tuned,0.513157894736842
Faces_con_0003,12,rfc,0.4917763157894737
Faces_con_0003,12,logistic_regression,0.4555921052631578
Faces_con_0003,12,svm_kernel_default,0.5714285714285714
Faces_con_0003,12,svm_kernel_tuned,0.4761904761904762
Faces_con_0003,12,rfc,0.5238095238095237
Faces_con_0003,12,logistic_regression,0.34523809523809523
Faces_con_0003,12,svm_kernel_default,0.5751633986928104
Faces_con_0003,12,svm_kernel_tuned,0.4248366013071896
Faces_con_0003,12,rfc,0.5718954248366013
Faces_con_0003,12,logistic_regression,0.4526143790849674
Faces_con_0003,12,svm_kernel_default,0.5
Faces_con_0003,12,svm_kernel_tuned,0.5119047619047619
