contrast,class,Model,original_accuracy
nBack_con_0003,23,svm_kernel_default,0.6649616368286444
nBack_con_0003,23,svm_kernel_tuned,0.6419437340153453
nBack_con_0003,23,rfc,0.6790281329923273
nBack_con_0003,23,logistic_regression,0.5907928388746804
nBack_con_0003,23,svm_kernel_default,0.5473145780051151
nBack_con_0003,23,svm_kernel_tuned,0.6713554987212276
nBack_con_0003,23,rfc,0.6636828644501278
nBack_con_0003,23,logistic_regression,0.6713554987212276
nBack_con_0003,23,svm_kernel_default,0.7
nBack_con_0003,23,svm_kernel_tuned,0.7
nBack_con_0003,23,rfc,0.7250000000000001
nBack_con_0003,23,logistic_regression,0.65
nBack_con_0003,23,svm_kernel_default,0.5175438596491228
nBack_con_0003,23,svm_kernel_tuned,0.6441102756892231
nBack_con_0003,23,rfc,0.6729323308270676
nBack_con_0003,23,logistic_regression,0.6704260651629073
nBack_con_0003,23,svm_kernel_default,0.625
nBack_con_0003,23,svm_kernel_tuned,0.6
nBack_con_0003,23,rfc,0.625
nBack_con_0003,23,logistic_regression,0.575
nBack_con_0003,23,svm_kernel_default,0.4933333333333333
nBack_con_0003,23,svm_kernel_tuned,0.6866666666666666
nBack_con_0003,23,rfc,0.5733333333333333
nBack_con_0003,23,logistic_regression,0.6666666666666666
nBack_con_0003,23,svm_kernel_default,0.4368686868686869
nBack_con_0003,23,svm_kernel_tuned,0.5782828282828283
nBack_con_0003,23,rfc,0.6414141414141414
nBack_con_0003,23,logistic_regression,0.5505050505050505
nBack_con_0003,23,svm_kernel_default,0.6236263736263736
nBack_con_0003,23,svm_kernel_tuned,0.7197802197802198
nBack_con_0003,23,rfc,0.7170329670329669
nBack_con_0003,23,logistic_regression,0.7582417582417582
nBack_con_0003,23,svm_kernel_default,0.6516290726817042
nBack_con_0003,23,svm_kernel_tuned,0.6177944862155388
nBack_con_0003,23,rfc,0.6040100250626567
nBack_con_0003,23,logistic_regression,0.6729323308270676
nBack_con_0003,23,svm_kernel_default,0.5656565656565656
nBack_con_0003,23,svm_kernel_tuned,0.606060606060606
nBack_con_0003,23,rfc,0.6843434343434344
nBack_con_0003,23,logistic_regression,0.5782828282828283
nBack_con_0003,23,svm_kernel_default,0.5776942355889725
nBack_con_0003,23,svm_kernel_tuned,0.5538847117794485
nBack_con_0003,23,rfc,0.6278195488721805
nBack_con_0003,23,logistic_regression,0.5275689223057645
nBack_con_0003,23,svm_kernel_default,0.5676691729323309
nBack_con_0003,23,svm_kernel_tuned,0.6278195488721805
nBack_con_0003,23,rfc,0.6729323308270676
nBack_con_0003,23,logistic_regression,0.6804511278195489
nBack_con_0003,23,svm_kernel_default,0.5328282828282829
nBack_con_0003,23,svm_kernel_tuned,0.5808080808080808
nBack_con_0003,23,rfc,0.7196969696969697
nBack_con_0003,23,logistic_regression,0.4797979797979798
nBack_con_0003,23,svm_kernel_default,0.7568922305764412
nBack_con_0003,23,svm_kernel_tuned,0.6967418546365914
nBack_con_0003,23,rfc,0.8070175438596491
nBack_con_0003,23,logistic_regression,0.6203007518796992
