contrast,class,Model,original_accuracy
nBack_con_0002,31,svm_kernel_default,0.4757033248081842
nBack_con_0002,31,svm_kernel_tuned,0.4705882352941176
nBack_con_0002,31,rfc,0.5767263427109974
nBack_con_0002,31,logistic_regression,0.4296675191815856
nBack_con_0002,31,svm_kernel_default,0.4242424242424242
nBack_con_0002,31,svm_kernel_tuned,0.4444444444444444
nBack_con_0002,31,rfc,0.5328282828282829
nBack_con_0002,31,logistic_regression,0.3712121212121212
nBack_con_0002,31,svm_kernel_default,0.6867007672634271
nBack_con_0002,31,svm_kernel_tuned,0.4923273657289002
nBack_con_0002,31,rfc,0.6202046035805626
nBack_con_0002,31,logistic_regression,0.6496163682864451
nBack_con_0002,31,svm_kernel_default,0.4680306905370844
nBack_con_0002,31,svm_kernel_tuned,0.5140664961636828
nBack_con_0002,31,rfc,0.6790281329923273
nBack_con_0002,31,logistic_regression,0.540920716112532
nBack_con_0002,31,svm_kernel_default,0.46875
nBack_con_0002,31,svm_kernel_tuned,0.46875
nBack_con_0002,31,rfc,0.6145833333333334
nBack_con_0002,31,logistic_regression,0.5416666666666667
nBack_con_0002,31,svm_kernel_default,0.4621212121212122
nBack_con_0002,31,svm_kernel_tuned,0.4722222222222222
nBack_con_0002,31,rfc,0.5328282828282829
nBack_con_0002,31,logistic_regression,0.6792929292929293
nBack_con_0002,31,svm_kernel_default,0.6
nBack_con_0002,31,svm_kernel_tuned,0.525
nBack_con_0002,31,rfc,0.65
nBack_con_0002,31,logistic_regression,0.5
nBack_con_0002,31,svm_kernel_default,0.5266666666666666
nBack_con_0002,31,svm_kernel_tuned,0.5
nBack_con_0002,31,rfc,0.5266666666666666
nBack_con_0002,31,logistic_regression,0.4666666666666667
nBack_con_0002,31,svm_kernel_default,0.5538847117794485
nBack_con_0002,31,svm_kernel_tuned,0.4949874686716792
nBack_con_0002,31,rfc,0.6516290726817042
nBack_con_0002,31,logistic_regression,0.5914786967418546
nBack_con_0002,31,svm_kernel_default,0.5115089514066496
nBack_con_0002,31,svm_kernel_tuned,0.5
nBack_con_0002,31,rfc,0.5754475703324808
nBack_con_0002,31,logistic_regression,0.5473145780051151
nBack_con_0002,31,svm_kernel_default,0.5488721804511278
nBack_con_0002,31,svm_kernel_tuned,0.5238095238095238
nBack_con_0002,31,rfc,0.474937343358396
nBack_con_0002,31,logistic_regression,0.4511278195488722
nBack_con_0002,31,svm_kernel_default,0.5454545454545454
nBack_con_0002,31,svm_kernel_tuned,0.4722222222222222
nBack_con_0002,31,rfc,0.5050505050505051
nBack_con_0002,31,logistic_regression,0.3863636363636364
nBack_con_0002,31,svm_kernel_default,0.78125
nBack_con_0002,31,svm_kernel_tuned,0.5
nBack_con_0002,31,rfc,0.6875
nBack_con_0002,31,logistic_regression,0.6666666666666667
nBack_con_0002,31,svm_kernel_default,0.6266666666666667
nBack_con_0002,31,svm_kernel_tuned,0.5
nBack_con_0002,31,rfc,0.5666666666666667
nBack_con_0002,31,logistic_regression,0.6533333333333333
nBack_con_0002,31,svm_kernel_default,0.4962406015037594
nBack_con_0002,31,svm_kernel_tuned,0.4423558897243108
nBack_con_0002,31,rfc,0.4674185463659148
nBack_con_0002,31,logistic_regression,0.5463659147869674
nBack_con_0002,31,svm_kernel_default,0.5345268542199488
nBack_con_0002,31,svm_kernel_tuned,0.5
nBack_con_0002,31,rfc,0.5396419437340154
nBack_con_0002,31,logistic_regression,0.5920716112531971
nBack_con_0002,31,svm_kernel_default,0.6041666666666666
nBack_con_0002,31,svm_kernel_tuned,0.5
nBack_con_0002,31,rfc,0.6145833333333333
nBack_con_0002,31,logistic_regression,0.5625
nBack_con_0002,31,svm_kernel_default,0.625
