contrast,class,Model,original_accuracy
nBack_con_0003,12,svm_kernel_default,0.5066666666666666
nBack_con_0003,12,svm_kernel_tuned,0.6533333333333333
nBack_con_0003,12,rfc,0.6666666666666666
nBack_con_0003,12,logistic_regression,0.6599999999999999
nBack_con_0003,12,svm_kernel_default,0.6090225563909775
nBack_con_0003,12,svm_kernel_tuned,0.575187969924812
nBack_con_0003,12,rfc,0.6040100250626567
nBack_con_0003,12,logistic_regression,0.6541353383458646
nBack_con_0003,12,svm_kernel_default,0.6303258145363408
nBack_con_0003,12,svm_kernel_tuned,0.6278195488721805
nBack_con_0003,12,rfc,0.5275689223057645
nBack_con_0003,12,logistic_regression,0.5989974937343359
nBack_con_0003,12,svm_kernel_default,0.7161125319693095
nBack_con_0003,12,svm_kernel_tuned,0.6496163682864451
nBack_con_0003,12,rfc,0.5255754475703325
nBack_con_0003,12,logistic_regression,0.6572890025575449
nBack_con_0003,12,svm_kernel_default,0.4786324786324786
nBack_con_0003,12,svm_kernel_tuned,0.5484330484330484
nBack_con_0003,12,rfc,0.6467236467236468
nBack_con_0003,12,logistic_regression,0.6054131054131053
nBack_con_0003,12,svm_kernel_default,0.5
nBack_con_0003,12,svm_kernel_tuned,0.5227272727272727
nBack_con_0003,12,rfc,0.5454545454545454
nBack_con_0003,12,logistic_regression,0.5227272727272727
nBack_con_0003,12,svm_kernel_default,0.5776942355889725
nBack_con_0003,12,svm_kernel_tuned,0.4724310776942356
nBack_con_0003,12,rfc,0.5200501253132832
nBack_con_0003,12,logistic_regression,0.474937343358396
nBack_con_0003,12,svm_kernel_default,0.475
nBack_con_0003,12,svm_kernel_tuned,0.475
nBack_con_0003,12,rfc,0.5
nBack_con_0003,12,logistic_regression,0.525
nBack_con_0003,12,svm_kernel_default,0.5964912280701754
nBack_con_0003,12,svm_kernel_tuned,0.62531328320802
nBack_con_0003,12,rfc,0.5012531328320802
nBack_con_0003,12,logistic_regression,0.5676691729323309
nBack_con_0003,12,svm_kernel_default,0.5989974937343359
nBack_con_0003,12,svm_kernel_tuned,0.6516290726817042
nBack_con_0003,12,rfc,0.5488721804511278
nBack_con_0003,12,logistic_regression,0.6491228070175439
nBack_con_0003,12,svm_kernel_default,0.6161616161616161
nBack_con_0003,12,svm_kernel_tuned,0.595959595959596
nBack_con_0003,12,rfc,0.4267676767676768
nBack_con_0003,12,logistic_regression,0.5505050505050505
nBack_con_0003,12,svm_kernel_default,0.5866666666666667
nBack_con_0003,12,svm_kernel_tuned,0.6
nBack_con_0003,12,rfc,0.7066666666666667
nBack_con_0003,12,logistic_regression,0.6
nBack_con_0003,12,svm_kernel_default,0.5208333333333334
nBack_con_0003,12,svm_kernel_tuned,0.4895833333333333
nBack_con_0003,12,rfc,0.59375
nBack_con_0003,12,logistic_regression,0.5520833333333333
nBack_con_0003,12,svm_kernel_default,0.6228070175438596
nBack_con_0003,12,svm_kernel_tuned,0.575187969924812
nBack_con_0003,12,rfc,0.5438596491228069
nBack_con_0003,12,logistic_regression,0.5538847117794485
nBack_con_0003,12,svm_kernel_default,0.5964912280701754
nBack_con_0003,12,svm_kernel_tuned,0.6466165413533835
nBack_con_0003,12,rfc,0.5488721804511278
nBack_con_0003,12,logistic_regression,0.6203007518796992
nBack_con_0003,12,svm_kernel_default,0.4309462915601023
nBack_con_0003,12,svm_kernel_tuned,0.3797953964194373
nBack_con_0003,12,rfc,0.4386189258312021
