Score,Type,Model,Classifier,Contrast_name,Balanced_accuracy
1.0,train,rfc,1,nBack_con_0002,1.0
0.6,test,rfc,1,nBack_con_0002,0.5
0.85,train,logistic_regression,1,nBack_con_0002,0.8125
0.6,test,logistic_regression,1,nBack_con_0002,0.5
0.825,train,svm_kernel_default,1,nBack_con_0002,0.7916666666666667
0.45,test,svm_kernel_default,1,nBack_con_0002,0.4375
0.8375,train,svm_kernel_tuned,1,nBack_con_0002,0.8072916666666667
0.6,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.7125,train,naive_bayes,1,nBack_con_0002,0.7239583333333333
0.4,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.6,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.6,test,rfc,1,nBack_con_0002,0.5
0.8875,train,logistic_regression,1,nBack_con_0002,0.8645833333333333
0.6,test,logistic_regression,1,nBack_con_0002,0.5
0.7875,train,svm_kernel_default,1,nBack_con_0002,0.7166666666666667
0.6,test,svm_kernel_default,1,nBack_con_0002,0.6
0.875,train,svm_kernel_tuned,1,nBack_con_0002,0.84
0.5,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.8,train,naive_bayes,1,nBack_con_0002,0.8200000000000001
0.5,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.5,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.5,test,rfc,1,nBack_con_0002,0.5
0.8375,train,logistic_regression,1,nBack_con_0002,0.79
0.5,test,logistic_regression,1,nBack_con_0002,0.5
0.8,train,svm_kernel_default,1,nBack_con_0002,0.7419354838709677
0.6,test,svm_kernel_default,1,nBack_con_0002,0.5757575757575758
0.8875,train,svm_kernel_tuned,1,nBack_con_0002,0.8607636603028308
0.55,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.8375,train,naive_bayes,1,nBack_con_0002,0.8199473337722185
0.45,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.55,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.55,test,rfc,1,nBack_con_0002,0.5
0.85,train,logistic_regression,1,nBack_con_0002,0.8183015141540486
0.55,test,logistic_regression,1,nBack_con_0002,0.5
0.875,train,svm_kernel_default,1,nBack_con_0002,0.8446346280447663
0.6,test,svm_kernel_default,1,nBack_con_0002,0.595959595959596
0.775,train,svm_kernel_tuned,1,nBack_con_0002,0.7215273206056616
0.65,test,svm_kernel_tuned,1,nBack_con_0002,0.6111111111111112
0.7625,train,naive_bayes,1,nBack_con_0002,0.7764976958525346
0.45,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.55,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.55,test,rfc,1,nBack_con_0002,0.5
0.875,train,logistic_regression,1,nBack_con_0002,0.8505595786701777
0.55,test,logistic_regression,1,nBack_con_0002,0.5
0.7875,train,svm_kernel_default,1,nBack_con_0002,0.7068965517241379
0.45,test,svm_kernel_default,1,nBack_con_0002,0.4898989898989899
0.9,train,svm_kernel_tuned,1,nBack_con_0002,0.8620689655172413
0.45,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.75,train,naive_bayes,1,nBack_con_0002,0.7592968221771468
0.55,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.45,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.45,test,rfc,1,nBack_con_0002,0.5
0.875,train,logistic_regression,1,nBack_con_0002,0.8350236646382692
0.45,test,logistic_regression,1,nBack_con_0002,0.5
0.8375,train,svm_kernel_default,1,nBack_con_0002,0.803030303030303
0.7,test,svm_kernel_default,1,nBack_con_0002,0.6043956043956045
0.9625,train,svm_kernel_tuned,1,nBack_con_0002,0.9590586718246292
